495 495 1080
1 1 2220.874
2 2 5.41067
3 3 13.57086
4 2 -5.41067
4 4 618.3968
5 5 8
6 6 5.251112
7 7 12.50981
8 4 -91.99632
8 8 91.99632
9 9 10.2145
10 10 277.3766
11 11 79.80034
12 12 13.01557
13 12 -1.333333
13 13 1.333333
14 12 -2.158429
14 14 2.158429
15 15 7.012623
16 1 -9.960159
16 12 -9.523809
16 15 -7.012623
16 16 60.12576
17 16 -21.78649
17 17 100.1224
18 7 -.5
18 18 .5
19 16 -7.037297
19 19 7.037297
20 17 -17.60563
20 20 17.60563
21 17 -17.60563
21 21 17.60563
22 22 105.8066
23 22 -37.31343
23 23 238.1596
24 24 7.806402
25 24 -7.806402
25 25 25.04799
26 26 72.58436
27 27 423.7288
28 27 -423.7288
28 28 1022.734
29 29 7.613696
30 30 5.428882
31 30 -5.428882
31 31 28.91268
32 32 16.37657
33 33 106.1647
34 33 -62.1118
34 34 62.1118
35 35 13.60544
36 36 1122.904
37 37 208.5616
38 38 19.28696
39 38 -11.04972
39 39 50.42981
40 39 -22.57336
40 40 107.3191
41 41 1125.308
42 42 40.63024
43 43 32.25806
44 44 50.45194
45 45 21.89011
46 1 -8.196721
46 46 14.95348
47 41 -11.65501
47 47 29.27953
48 48 1682.986
49 49 65.39337
50 49 -47.61905
50 50 168.4125
51 51 39.44635
52 3 -5.665723
52 52 10.485
53 53 89.16084
54 54 14.70295
55 55 40.84595
56 56 20.84468
57 16 -4.805382
57 57 19.21461
58 58 8.290816
59 58 -6.25
59 59 63.99854
60 58 -2.040816
60 60 2.040816
61 61 25.70627
62 62 8.084074
63 63 17.00138
64 63 -.6702413
64 64 .6702413
65 65 68.63511
66 65 -56.17978
66 66 56.17978
67 67 794.4359
68 68 63.74079
69 67 -9.727627
69 69 9.727627
70 67 -714.2858
70 68 -23.4192
70 70 898.1736
71 67 -70.42253
71 70 -64.10257
71 71 309.7514
72 68 -15.07614
72 70 -8.467401
72 72 44.65961
73 68 -10.75269
73 73 10.75269
74 71 -22.52252
74 74 22.52252
75 71 -22.52252
75 75 22.52252
76 71 -27.02703
76 76 27.02703
77 77 43.25696
78 77 -11.62791
78 78 14.95486
79 79 59.78359
80 79 -18.99335
80 80 76.98932
81 81 54.86513
82 51 -24.27184
82 82 130.6548
83 83 8.651169
84 57 -14.40922
84 84 18.52954
85 28 -3.767472
85 85 318.4947
86 86 11.6144
87 87 55.87302
88 85 -294.1176
88 86 -11.6144
88 87 -40
88 88 345.7321
89 63 -3.34113
89 89 8.151134
90 90 215.0901
91 71 -57.47126
91 90 -125
91 91 295.4285
92 92 79.78151
93 91 -38.75969
93 93 38.75969
94 91 -38.91051
94 94 38.91051
95 91 -11.53403
95 92 -74.62687
95 95 94.05356
96 95 -7.89266
96 96 7.89266
97 97 17.55133
